name,brand,price_idr,cpu_brand,cpu_gen,cpu_tier,cpu_model,ram_gb,ssd_gb,storage_type,nvme,screen_inch,resolution,display_type,touchscreen,gpu_type,os,sold_count,rating
Cuci Gudang DELL LATITUDE e5420 / Corei5 / 4GB / Murah & Berkualitas,Dell,3350000,Intel,,i5,,4,,SSD,0,,HD,,0,Integrated,,4,4.5
"Cuci Gudang Laptop Bekas Lenovo x240 Core i5 4300u 8GB SSD 240GB Murah - SSD 128GB, 4 gb",Lenovo,2850000,Intel,4,i5,4300U,8,128,SSD,0,,HD,,0,Integrated,,100,4.9
Cuci Gudang Laptop Bekas Toshiba R30 Corei5 4210M 4GB 500GB Win 8 Slim - HDD 320GB,Toshiba,1699000,Intel,4,i5,4210M,4,320,HDD,0,13.3,HD,,0,Integrated,Windows 8,50,4.6
Cuci Gudang Laptop Dell D630 Core2Duo - 2GB - 160GB - Murah Garansi,Dell,1499000,Intel,,core2duo,,2,,SSD,0,,,,0,Integrated,,1,
Cuci Gudang Laptop Dell E6330 Core i7 3520M 4GB 320GB DVD Win7 Murah,Dell,3650000,Intel,3,i7,3520M,4,,SSD,0,13.3,HD,,0,Integrated,Windows 7,17,4.8
Dell Latitude E5450 Core i5 - 16GB - SSD 256 - Win 10,Dell,4250000,Intel,,i5,,16,256,SSD,0,14.0,HD,,0,Integrated,Windows 10,11,5.0
Dell Latitude E7240 Core i5 Gen4 - 8GB - SSD 128 - Murah Slim Ringan - SSD 128GB,Dell,3600000,Intel,4,i5,4310U,8,128,SSD,0,12.5,HD,,0,Integrated,,11,4.6
HP ZBook Firefly G8 i7 Gen11 14” FHD Workstation | RAM 16GB SSD 512GB | VGA Iris Xe | Laptop Design AutoCAD | Touchscreen - SSD 256GB,Hp,6900000,Intel,11,i7,,16,256,SSD,0,14.0,FHD,IPS,1,Integrated,Windows 11,3,5.0
Jual Laptop Bekas Lenovo Thinkpad X230 Corei5 3320M 4GB 320GB Murah,Lenovo,2499000,Intel,3,i5,3320M,4,,SSD,0,12.5,HD,,0,Integrated,,250,4.6
"Laptop 2 in 1 Dell Latitude 5300 Core i7 8th Gen RAM 16GB SSD 512 IPS - Intel Core i5, RAM 8GB SSD 256",Dell,3650000,Intel,8,i7,,16,256,SSD,1,13.3,FHD,IPS,1,Integrated,Windows 10,27,5.0
Laptop 2 in 1 Dell Latitude 7390 Core i5 Gen 8 RAM 8GB SSD 512 Murah - SSD 256GB,Dell,3750000,Intel,8,i5,8350U,8,256,SSD,0,,FHD,IPS,1,Integrated,,2,5.0
Laptop 2 in 1 Hp Probook X360 435 G7 AMD Ryzen 7 Pro 4750u RAM 16GB SSD 256 VGA AMD Radeon Touchscreen Full HD IPS - RAM 16/256,Hp,5499000,AMD,4,ryzen7,4750u,16,256,SSD,0,13.3,FHD,IPS,1,Dedicated,Windows 11,24,5.0
"Laptop 2 in 1 Lenovo Thinkpad X1 Yoga 4TH Core i7 8th Gen RAM 16GB SSD - X1 Yoga 4th i5, RAM 16 SSD 256",Lenovo,5450000,Intel,8,i7,,16,256,SSD,0,14.0,FHD,IPS,1,Integrated,Windows 11,250,4.9
Laptop 2 in 1 Lenovo Thinkpad X230T Core i5 RAM 8GB Touch + Pen Stylus - 4GB HDD 320GB,Lenovo,2899900,Intel,3,i5,3320M,8,320,HDD,0,12.5,,IPS,1,Integrated,,12,4.9
Laptop Asus Pro 450C Intel - 4GB - SSD 120GB - Nvidia 1GB - Murah Gan - SSD 128GB,Asus,2899000,,,,,4,128,SSD,0,14.0,HD,,0,Dedicated,,40,4.9
Laptop Dell Inspiron 5468 Core i5 7200u - VGA AMD 2GB - SSD 128 Murah - 8GB SSD 128GB,Dell,4500000,Intel,7,i5,7200U,2,128,SSD,0,14.0,HD,,0,Dedicated,,13,5.0
Laptop Dell Latitude 5290 2 in 1 Core i5 Gen 8 RAM 8GB SSD 256 FHD IPS - SSD 256GB,Dell,3799000,Intel,8,i5,8265U,8,256,SSD,0,,FHD,IPS,1,Integrated,Windows 10,19,5.0
Laptop Dell Latitude 5420 Core i5 Gen 11 RAM 16GB SSD 512 FHD IPS Slim - SSD 256GB,Dell,5599000,Intel,11,i5,1145G7,16,256,SSD,1,14.0,FHD,IPS,0,Integrated,,60,5.0
Laptop Dell Latitude 5420 Core i7 Gen 11 RAM 16GB SSD 512 FHD IPS Slim - 16 gb,Dell,6250000,Intel,11,i7,1185G7,16,512,SSD,1,14.0,FHD,IPS,0,Integrated,,80,5.0
Laptop Dell Latitude 5480 Core i5 7th Gen SSD 256 RAM 8GB FHD IPS Slim - SSD 256GB,Dell,3699000,Intel,7,i5,,8,256,SSD,0,14.0,FHD,IPS,0,Integrated,,70,4.9
Laptop Dell Latitude 5490 Core i5 8th Gen RAM 16GB SSD 256 FHD IPS Slim Murah,Dell,3799000,Intel,8,i5,,16,256,SSD,0,14.0,FHD,IPS,0,Integrated,,1,
"Laptop Dell Latitude 7280 Core i5 7200u 8GB SSD 256 Win 10 Murah Slim - SSD 128GB, 8 gb",Dell,3199000,Intel,7,i5,7200U,8,128,SSD,0,12.5,HD,,0,Integrated,Windows 10,60,4.8
Laptop Dell Latitude 7280 Core i7 Gen 7 RAM 8GB SSD 512GB Garansi Murah Windows 11,Dell,4500000,Intel,7,i7,7600U,8,512,SSD,0,12.5,HD,,0,Integrated,Windows 11,,
"Laptop Dell Latitude 7300 Core i7 Gen 8 RAM 32GB SSD Touchscreen IPS - NVME 256GB, 16 gb",Dell,6499000,Intel,8,i7,10610,32,256,SSD,1,14.0,FHD,IPS,1,Integrated,,70,5.0
"Laptop Dell Latitude 7320 Core i7 Gen 11 RAM 16GB SSD 512 FHD IPS Slim - SSD NVME 256GB, RAM 32GB",Dell,5850000,Intel,11,i7,1185G7,16,256,SSD,1,13.3,FHD,IPS,0,Integrated,,100,4.9
