url,name,price_idr,sold_count,rating,brand,cpu,cpu_full,ram_gb,storage_raw,ssd_gb,storage_type,nvme,screen_inch,resolution,display_type,touchscreen,gpu,gpu_type,os,battery_hours,condition,error
https://www.tokopedia.com/specialistlaptop/buat-ram-tambahan-4gb-ddr3,Buat Ram Tambahan 4GB DDR3,100000,40,4.8,,,,4,,,,No,,,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/charger-adaptor-lenoco-type-c-65watt,Charger adaptor lenoco type c 65watt,200000,30,5,,,,,,,,No,,,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/computer-dekstop-brand-hp-pro-8200-corei5-2400-4gb-250gb-murah-1,Computer Dekstop Brand Hp Pro 8200 / Corei5 2400 / 4GB / 250GB / Murah,1750000,16,4.5,Hp,,,4,,,,No,,,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/cuci-gudang-dell-latitude-e5420-corei5-4gb-murah-berkualitas,Cuci Gudang DELL LATITUDE e5420 / Corei5 / 4GB / Murah & Berkualitas,3350000,4,4.5,Dell,,,4,,,,No,,HD,,No,,Integrated,,1,Used,
https://www.tokopedia.com/specialistlaptop/cuci-gudang-laptop-bekas-lenovo-x240-core-i5-4300u-8gb-ssd-240gb-murah-ssd-128gb-4-gb,"Cuci Gudang Laptop Bekas Lenovo x240 Core i5 4300u 8GB SSD 240GB Murah - SSD 128GB, 4 gb",2850000,100,4.9,Lenovo,,,8,,,SSD,No,,HD,,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/cuci-gudang-laptop-bekas-toshiba-r30-corei5-4210m-4gb-500gb-win-8-slim-hdd-320gb,Cuci Gudang Laptop Bekas Toshiba R30 Corei5 4210M 4GB 500GB Win 8 Slim - HDD 320GB,1699000,50,4.6,Toshiba,,,4,,,SSD,No,13.3,HD,,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/cuci-gudang-laptop-dell-d630-core2duo-2gb-160gb-murah-garansi,Cuci Gudang Laptop Dell D630 Core2Duo - 2GB - 160GB - Murah Garansi,1499000,1,,Dell,,,2,,,,No,,,,No,,Integrated,,1,Used,
https://www.tokopedia.com/specialistlaptop/cuci-gudang-laptop-dell-e6330-core-i7-3520m-4gb-320gb-dvd-win7-murah,Cuci Gudang Laptop Dell E6330 Core i7 3520M 4GB 320GB DVD Win7 Murah,3650000,17,4.8,Dell,i7 3520M,intel Core i7 3520M 2.90 GHz RAM 4GB DDR3 Harddisk 32,4,,,,No,13.3,HD,,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/cuci-gudang-paket-komputer-bekas-branded-hp-core2duo-lcd-17-in-hp,Cuci Gudang Paket Komputer Bekas Branded Hp / Core2Duo / Lcd 17 in Hp,1750000,11,5,Hp,,,2,,,,No,,,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/cuci-gudang-paket-komputer-bekas-branded-hp-corei5-2400-lcd-17-hp,"Cuci Gudang Paket Komputer Bekas Branded Hp / Corei5 2400/ LCD 17"" Hp",2500000,3,4.3,Hp,,,4,,,,No,,HD,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/cuci-gudang-paket-komputer-bekas-branded-hp-corei5-lcd-17-hp-1,"Cuci Gudang Paket Komputer Bekas Branded Hp / Corei5 / LCD 17"" Hp",2499000,90,4.7,Hp,,,4,,,,No,,HD,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/cuci-gudang-pc-dekstop-hp-pro-8200-corei5-sandy-bridge-4gb-murah-lcd-keymouse,Cuci Gudang Pc Dekstop Hp Pro 8200 / Corei5 Sandy Bridge / 4GB / Murah - + LCD +Keymouse,2600000,24,4.7,Hp,,,4,,,,No,,,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/dell-latitude-e5450-core-i5-16gb-ssd-256-win-10,Dell Latitude E5450 Core i5 - 16GB - SSD 256 - Win 10,4250000,11,5,Dell,,,16,SSD 256 GB “ Fast Boot “ VGA INTEL HD 55,256,SSD,No,14,HD,,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/dell-latitude-e7240-core-i5-gen4-8gb-ssd-128-murah-slim-ringan-ssd-128gb,Dell Latitude E7240 Core i5 Gen4 - 8GB - SSD 128 - Murah Slim Ringan - SSD 128GB,3600000,11,4.6,Dell,i5 4310u,Intel Core i5 4310u 2.0 GHz RAM 8GB DDR3 SSD Msata 12,8,,,SSD,No,12.5,HD,,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/hp-zbook-firefly-g8-i7-gen11-14-fhd-workstation-ram-16gb-ssd-512gb-vga-iris-xe-laptop-design-autocad-touchscreen-1734437248555058622,HP ZBook Firefly G8 i7 Gen11 14” FHD Workstation | RAM 16GB SSD 512GB | VGA Iris Xe | Laptop Design AutoCAD | Touchscreen - SSD 256GB,6900000,3,5,Hp,i7 generasi 11,intel core i7 generasi 11,16,,512,SSD,Yes,14,Full HD,IPS,Yes,,Integrated,Windows 11 Pro,2,Used,
https://www.tokopedia.com/specialistlaptop/jual-laptop-bekas-lenovo-thinkpad-x230-corei5-3320m-4gb-320gb-murah,Jual Laptop Bekas Lenovo Thinkpad X230 Corei5 3320M 4GB 320GB Murah,2499000,250,4.6,Lenovo,i5 3320M,Intel Core i5 3320M 2.6 GHz RAM 4GB Harddisk 320GB WE,4,,,,No,12.5,HD,,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/jual-pc-branded-hp-6000-sff-stock-terbatas-promo-murah,JUAL PC BRANDED Hp 6000 SFF ( STOCK TERBATAS ) PROMO MURAH,990000,,,Hp,,,2,,,,No,,,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/jual-pc-dekstop-lenovo-thinkcentre-m90p-corei5-4gb-murah-mulus,Jual Pc Dekstop Lenovo Thinkcentre M90P - Corei5 - 4GB - Murah - Mulus,2750000,19,4.8,Lenovo,,,4,,,,No,,,,No,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-2-in-1-dell-latitude-5300-core-i7-8th-gen-ram-16gb-ssd-512-ips-intel-core-i5-ram-8gb-ssd-256-770db,"Laptop 2 in 1 Dell Latitude 5300 Core i7 8th Gen RAM 16GB SSD 512 IPS - Intel Core i5, RAM 8GB SSD 256",3650000,27,5,Dell,,intel core i7 ( sudah habis ) tinggal core i5 Laptop,8,SSD NVME 256GB / 512GB VGA intel uhd graphic,256,SSD,Yes,13.3,1920x1080,IPS,Yes,,Integrated,Windows 10 Pro,,Used,
